date, autoware_contributors, code_contributors, community_contributors, tier4_autoware_contributors_per_day, tier4_code_contributors_per_day, tier4_community_contributors_per_day
2022/04/27,123,67,98,43,32,33
2022/04/29,125,68,100,43,32,33
2022/05/04,126,68,101,43,32,33
2022/05/05,127,68,102,43,32,33
2022/05/06,127,68,103,43,32,34
2022/05/09,130,69,105,44,33,34
2022/05/10,130,69,106,44,33,34
2022/05/11,131,69,107,44,33,34
2022/05/12,134,71,110,45,34,35
2022/05/13,135,71,111,45,34,35
2022/05/16,136,72,112,45,35,35
2022/05/18,139,75,113,46,36,35
2022/05/19,140,77,114,46,36,35
2022/05/20,142,78,116,46,37,35
2022/05/24,143,78,117,47,37,36
2022/05/25,144,78,118,47,37,36
2022/05/26,145,78,120,47,37,37
2022/05/27,146,78,121,47,37,37
2022/05/30,147,79,123,47,37,38
2022/05/31,150,83,124,48,39,38
2022/06/01,151,83,125,48,39,38
2022/06/02,152,83,126,48,39,38
2022/06/05,154,84,127,49,40,38
2022/06/06,158,84,131,50,40,39
2022/06/07,160,85,132,50,40,39
2022/06/08,161,85,133,50,40,39
2022/06/09,164,88,133,52,42,39
2022/06/10,165,89,133,53,43,39
2022/06/14,167,91,135,54,44,40
2022/06/15,168,92,136,54,44,40
2022/06/16,170,92,138,54,44,40
2022/06/17,172,92,140,54,44,40
2022/06/20,176,92,144,54,44,40
2022/06/21,177,92,145,54,44,40
2022/06/22,180,92,148,55,44,41
2022/06/23,181,93,149,55,44,41
2022/06/25,181,94,149,55,44,41
2022/06/27,182,95,150,55,44,41
2022/06/28,183,95,151,55,44,41
2022/06/29,184,96,151,55,44,41
2022/06/30,186,96,153,55,44,41
2022/07/01,187,97,153,56,45,41
2022/07/04,187,98,153,56,45,41
2022/07/06,188,99,154,56,45,41
2022/07/07,189,99,155,56,45,41
2022/07/11,191,99,157,56,45,41
2022/07/12,195,99,161,57,45,42
2022/07/13,196,99,162,58,45,43
2022/07/15,197,100,162,58,45,43
2022/07/18,199,100,164,58,45,43
2022/07/20,200,100,166,58,45,44
2022/07/21,201,101,166,58,45,44
2022/07/26,202,103,168,58,45,44
2022/07/27,203,103,169,58,45,44
2022/07/28,204,103,171,58,45,45
2022/08/01,205,103,172,58,45,45
2022/08/02,206,103,173,58,45,45
2022/08/03,208,103,175,58,45,45
2022/08/04,209,103,176,58,45,45
2022/08/05,210,103,177,58,45,45
2022/08/08,212,103,179,58,45,45
2022/08/09,214,104,181,59,45,46
2022/08/10,215,105,182,59,45,46
2022/08/12,215,106,182,59,45,46
2022/08/16,217,107,183,59,45,46
2022/08/18,217,108,183,59,46,46
2022/08/23,219,111,184,60,49,46
2022/08/26,220,111,185,60,49,46
2022/08/28,221,111,186,60,49,46
2022/08/29,221,112,186,60,49,46
2022/08/30,222,112,187,60,49,46
2022/08/31,223,112,188,60,49,46
2022/09/01,224,112,189,60,49,46
2022/09/02,225,112,190,60,49,46
2022/09/03,226,112,191,60,49,46
2022/09/05,227,112,192,60,49,46
2022/09/06,228,112,193,60,49,46
2022/09/07,229,113,193,61,50,46
2022/09/08,230,114,194,61,50,46
2022/09/12,231,115,194,61,50,46
2022/09/13,233,115,196,61,50,46
2022/09/14,235,115,198,61,50,46
2022/09/15,236,116,199,61,50,46
2022/09/16,236,117,199,61,50,46
2022/09/18,237,118,199,61,50,46
2022/09/19,238,118,200,61,50,46
2022/09/20,239,118,201,61,50,46
2022/09/21,242,119,203,62,51,46
2022/09/22,242,119,204,62,51,46
2022/09/23,242,121,204,62,51,46
2022/09/26,243,121,205,62,51,46
2022/09/28,244,121,206,62,51,46
2022/10/03,245,121,207,62,51,46
2022/10/04,246,121,208,62,51,46
2022/10/05,247,121,209,62,51,46
2022/10/06,250,122,211,62,51,46
2022/10/07,251,124,212,62,51,46
2022/10/11,254,124,215,63,51,47
2022/10/12,255,124,216,63,51,47
2022/10/13,256,125,216,63,51,47
2022/10/17,257,126,217,64,52,48
2022/10/18,259,126,220,64,52,48
2022/10/20,260,126,222,64,52,48
2022/10/21,263,126,225,65,52,49
2022/10/22,263,127,225,65,52,49
2022/10/26,264,128,225,65,52,49
2022/10/28,264,129,225,65,52,49
2022/10/31,264,130,225,65,52,49
2022/11/01,265,130,226,65,52,49
2022/11/02,269,131,230,65,52,49
2022/11/03,273,132,233,65,52,49
2022/11/07,274,133,234,65,52,49
2022/11/09,274,133,235,65,52,50
2022/11/11,275,133,236,65,52,50
2022/11/14,277,133,238,66,52,51
2022/11/15,278,133,239,66,52,51
2022/11/16,279,134,240,66,52,51
2022/11/17,279,136,240,66,52,51
2022/11/21,280,137,241,66,53,51
2022/11/22,280,137,242,66,53,52
2022/11/23,282,137,244,66,53,52
2022/11/24,285,138,246,67,54,52
2022/11/25,286,138,247,67,54,52
2022/11/28,288,138,249,67,54,52
2022/11/29,289,139,250,67,54,52
2022/12/01,290,140,251,67,54,52
2022/12/05,293,140,254,67,54,52
2022/12/06,293,141,254,67,55,52
2022/12/07,294,141,255,67,55,52
2022/12/08,296,141,257,67,55,52
2022/12/11,297,141,258,67,55,52
2022/12/12,299,141,260,68,55,53
2022/12/13,300,141,261,68,55,53
2022/12/15,302,141,263,68,55,53
2022/12/19,303,141,264,68,55,53
2022/12/20,307,142,267,68,55,53
2022/12/22,311,143,270,69,56,53
2022/12/29,312,143,271,69,56,53
2023/01/02,313,143,272,69,56,53
2023/01/03,313,144,272,69,56,53
2023/01/05,314,145,272,69,56,53
2023/01/06,315,145,273,69,56,53
2023/01/09,316,145,274,69,56,53
2023/01/10,317,145,275,69,56,53
2023/01/14,318,146,275,69,56,53
2023/01/15,319,146,276,69,56,53
2023/01/18,321,146,278,69,56,53
2023/01/19,322,146,279,69,56,53
2023/01/20,323,147,279,69,56,53
2023/01/22,324,147,280,69,56,53
2023/01/23,325,147,281,69,56,53
2023/01/24,326,148,282,69,56,53
2023/01/25,328,148,284,70,56,54
2023/01/28,329,148,285,70,56,54
2023/01/29,330,148,286,70,56,54
2023/01/30,331,149,286,70,56,54
2023/01/31,332,150,287,70,56,54
2023/02/02,335,150,290,70,56,54
2023/02/05,336,151,290,70,56,54
2023/02/08,336,152,290,70,56,54
2023/02/10,337,153,291,71,57,54
2023/02/15,338,154,292,71,57,54
2023/02/16,339,154,294,71,57,55
2023/02/17,340,154,297,71,57,56
2023/02/21,341,154,298,71,57,56
2023/02/22,342,154,299,71,57,56
2023/02/27,343,154,300,71,57,56
2023/03/01,344,155,302,71,57,56
2023/03/02,346,156,304,71,57,57
2023/03/06,347,156,305,71,57,57
2023/03/07,351,156,309,71,57,57
2023/03/08,352,157,309,71,57,57
2023/03/12,353,157,310,71,57,57
2023/03/13,357,158,313,72,57,58
2023/03/15,359,158,315,72,57,58
2023/03/16,361,158,317,72,57,58
2023/03/17,361,158,318,72,57,58
2023/03/20,363,159,319,72,57,58
2023/03/21,365,159,321,72,57,58
2023/03/22,365,160,321,72,57,58
2023/03/26,365,161,321,72,58,58
2023/03/28,365,162,321,72,59,58
2023/03/29,369,163,324,72,59,58
2023/03/31,370,164,325,72,59,58
2023/04/03,371,165,325,72,59,58
2023/04/04,373,165,327,72,59,58
2023/04/06,373,165,328,72,59,59
2023/04/12,375,166,329,72,59,59
2023/04/13,376,166,330,72,59,59
2023/04/14,378,166,332,74,59,61
2023/04/17,379,166,333,74,59,61
2023/04/18,380,166,334,74,59,61
2023/04/20,381,166,335,75,59,62
2023/04/24,382,166,336,75,59,62
2023/04/25,383,166,337,75,59,62
2023/04/26,385,167,339,75,60,62
2023/04/28,387,167,341,75,60,62
2023/04/29,388,167,342,75,60,62
2023/05/03,389,167,343,75,60,62
2023/05/07,391,167,345,75,60,62
2023/05/08,392,169,345,75,60,62
2023/05/09,394,169,347,75,60,62
2023/05/10,395,170,350,75,60,63
2023/05/11,396,171,350,76,61,63
2023/05/12,396,172,350,76,61,63
2023/05/13,397,172,351,76,61,63
2023/05/16,398,172,352,76,61,63
2023/05/17,401,173,354,77,61,64
2023/05/19,401,174,354,77,62,64
2023/05/21,402,174,355,77,62,64
2023/05/22,403,174,356,77,62,64
2023/05/23,405,175,357,77,62,64
2023/05/25,405,175,358,77,62,64
2023/05/26,406,175,359,77,62,64
2023/05/30,407,175,360,77,62,64
2023/05/31,409,175,362,77,62,64
2023/06/05,412,175,365,77,62,64
2023/06/06,413,175,366,77,62,64
2023/06/07,414,176,367,77,62,64
2023/06/08,415,176,368,77,62,64
2023/06/09,417,176,370,77,62,64
2023/06/11,418,177,371,77,63,64
2023/06/12,420,178,372,77,63,64
2023/06/13,422,178,374,77,63,64
2023/06/18,423,178,375,77,63,64
2023/06/19,424,178,377,77,63,64
2023/06/20,424,179,377,77,64,64
2023/06/23,425,179,378,77,64,64
2023/06/25,427,179,380,77,64,64
2023/06/26,428,180,381,78,65,65
2023/06/27,429,180,382,78,65,65
2023/06/28,431,180,384,78,65,65
2023/06/29,432,180,385,78,65,65
2023/06/30,433,181,385,78,65,65
2023/07/01,434,181,386,78,65,65
2023/07/03,435,181,387,78,65,65
2023/07/04,437,181,389,78,65,65
2023/07/05,438,182,390,78,66,65
2023/07/06,439,182,391,78,66,65
2023/07/08,440,182,392,78,66,65
2023/07/10,441,182,393,78,66,65
2023/07/11,442,182,394,78,66,65
2023/07/12,443,182,395,78,66,65
2023/07/14,444,182,396,78,66,65
2023/07/15,445,182,397,78,66,65
2023/07/18,446,183,397,78,66,65
2023/07/19,447,183,398,78,66,65
2023/07/20,448,183,399,78,66,65
2023/07/21,449,183,400,78,66,65
2023/07/23,450,183,401,78,66,65
2023/07/24,451,183,402,78,66,65
2023/07/25,452,183,403,78,66,65
2023/07/27,456,184,406,78,66,65
2023/07/28,457,185,407,78,67,65
2023/08/01,459,187,408,78,67,65
2023/08/02,461,189,409,78,68,65
2023/08/03,464,190,411,79,69,65
2023/08/04,467,190,414,79,69,65
2023/08/07,469,191,415,79,69,65
2023/08/08,469,192,415,79,69,65
2023/08/10,472,192,418,79,69,65
2023/08/16,474,193,419,79,69,65
2023/08/18,476,194,420,80,70,65
2023/08/20,477,194,421,80,70,65
2023/08/21,480,195,424,80,70,65
2023/08/23,481,195,425,80,70,65
2023/08/24,484,196,427,80,70,65
2023/08/25,487,196,430,80,70,65
2023/08/28,488,196,431,80,70,65
2023/08/31,490,197,432,81,71,65
2023/09/04,492,197,434,81,71,65
2023/09/05,494,198,436,81,71,65
2023/09/06,497,198,439,81,71,65
2023/09/07,498,198,440,81,71,65
2023/09/08,498,199,441,81,71,65
2023/09/09,499,199,442,81,71,65
2023/09/11,502,200,444,82,72,65
2023/09/12,503,200,445,82,72,65
2023/09/13,503,201,445,82,72,65
2023/09/14,504,201,446,82,72,65
2023/09/15,508,203,448,83,73,65
2023/09/18,510,204,450,83,73,65
2023/09/20,511,207,450,84,74,65
2023/09/22,512,207,451,84,74,65
2023/09/25,513,207,452,84,74,65
2023/09/26,514,207,453,84,74,65
2023/09/27,516,207,455,84,74,65
2023/10/04,518,207,457,84,74,65
2023/10/05,519,208,458,84,74,65
2023/10/06,521,209,459,84,74,65
2023/10/07,522,210,459,84,74,65
2023/10/10,523,210,460,84,74,65
2023/10/12,524,210,461,84,74,65
2023/10/13,525,210,462,84,74,65
2023/10/15,526,210,463,84,74,65
2023/10/16,528,210,465,84,74,65
2023/10/17,529,211,465,84,74,65
2023/10/18,531,211,468,84,74,66
2023/10/19,533,211,470,84,74,66
2023/10/24,535,212,471,84,74,66
2023/10/25,537,214,471,85,75,66
2023/10/26,538,214,472,85,75,66
2023/10/27,539,214,473,85,75,66
2023/10/29,540,214,474,85,75,66
2023/10/31,541,214,475,85,75,66
2023/11/01,542,214,476,85,75,66
2023/11/06,543,214,477,85,75,66
2023/11/08,545,214,479,85,75,66
2023/11/09,545,215,479,85,75,66
2023/11/13,547,216,480,86,76,66
2023/11/14,550,218,481,86,76,66
2023/11/15,551,218,482,86,76,66
2023/11/16,554,220,484,86,76,66
2023/11/17,555,220,485,86,76,66
2023/11/22,555,221,485,86,76,66
2023/11/27,556,222,486,86,76,66
2023/11/30,557,222,487,86,76,66
2023/12/01,557,223,487,86,76,66
2023/12/05,559,224,488,87,77,66
2023/12/06,561,225,489,88,78,66
2023/12/07,561,225,490,88,78,67
2023/12/08,564,226,492,89,79,67
2023/12/10,565,226,493,89,79,67
2023/12/11,566,226,494,89,79,67
2023/12/13,567,227,494,89,79,67
2023/12/14,569,228,495,90,80,67
2023/12/19,570,229,495,90,80,67
2023/12/20,571,229,496,90,80,67
2023/12/21,571,230,496,90,80,67
2023/12/24,572,230,497,90,80,67
2023/12/26,573,231,497,90,80,67
2023/12/28,574,232,497,90,80,67
2023/12/29,575,232,498,90,80,67
2024/01/02,576,232,499,90,80,67
2024/01/03,577,232,500,90,80,67
2024/01/05,578,232,501,90,80,67
2024/01/10,578,233,501,90,80,67
2024/01/11,578,234,501,90,80,67
2024/01/15,578,235,501,90,80,67
2024/01/16,579,236,501,91,81,67
2024/01/21,580,236,502,91,81,67
2024/01/23,581,236,503,91,81,67
2024/01/24,582,236,504,91,81,67
2024/01/25,583,236,505,91,81,67
2024/01/27,584,236,506,91,81,67
2024/01/29,584,237,506,91,82,67
2024/01/31,585,237,507,91,82,67
2024/02/01,586,239,507,92,83,67
2024/02/02,587,239,508,92,83,67
2024/02/06,588,240,508,93,84,67
2024/02/07,588,240,509,93,84,68
2024/02/09,589,240,510,93,84,68
2024/02/13,590,241,510,93,84,68
2024/02/14,591,242,510,93,84,68
2024/02/18,592,242,511,93,84,68
2024/02/20,594,244,512,93,84,68
2024/02/22,596,244,514,93,84,68
2024/02/23,597,245,515,93,84,68
2024/02/24,598,246,515,93,84,68
2024/02/25,599,246,516,93,84,68
2024/02/26,599,247,516,93,84,68
2024/02/28,600,247,517,93,84,68
2024/02/29,603,248,520,93,84,69
2024/03/01,604,250,520,93,84,69
2024/03/02,605,251,521,93,84,69
2024/03/03,607,251,523,93,84,69
2024/03/05,608,251,524,93,84,69
2024/03/11,609,251,525,93,84,69
2024/03/12,610,252,525,94,85,69
2024/03/14,611,252,526,94,85,69
2024/03/15,615,255,528,94,85,69
2024/03/18,615,255,529,94,85,70
2024/03/19,618,255,532,94,85,70
2024/03/20,622,255,536,94,85,70
2024/03/21,626,255,540,94,85,70
2024/03/22,628,255,542,94,85,70
2024/03/25,630,255,545,94,85,71
2024/03/27,633,256,547,94,85,71
2024/03/28,635,256,549,94,85,71
2024/03/29,637,257,551,95,86,72
2024/03/30,638,257,552,95,86,72
2024/03/31,638,258,552,95,86,72
2024/04/01,640,259,553,95,86,72
2024/04/02,641,260,554,96,87,73
2024/04/03,642,260,555,96,87,73
2024/04/04,645,261,557,96,87,73
2024/04/05,646,262,557,96,87,73
2024/04/06,646,263,557,96,87,73
2024/04/08,649,263,560,97,87,74
2024/04/10,650,263,562,97,87,75
2024/04/11,651,263,563,97,87,75
2024/04/12,651,263,564,97,87,75
2024/04/13,652,264,564,97,87,75
2024/04/16,653,264,565,97,87,75
2024/04/17,654,264,566,97,87,75
2024/04/18,655,264,567,97,87,75
2024/04/19,656,264,568,97,87,75
2024/04/22,657,265,569,98,88,76
2024/04/23,659,266,570,98,88,76
2024/04/24,659,266,571,98,88,77
2024/04/25,661,266,573,98,88,77
2024/04/26,661,267,573,98,88,77
2024/05/01,662,268,573,98,88,77
2024/05/04,663,268,574,98,88,77
2024/05/05,664,268,575,98,88,77
2024/05/06,665,268,576,98,88,77
2024/05/07,666,268,577,98,88,77
2024/05/08,668,268,579,99,88,78
2024/05/10,669,269,579,100,89,78
2024/05/11,670,269,580,100,89,78
2024/05/13,671,270,581,100,89,78
2024/05/14,673,271,582,101,90,78
2024/05/15,676,271,585,101,90,78
2024/05/16,676,272,586,101,90,79
2024/05/17,676,272,587,101,90,80
2024/05/19,678,273,588,101,90,80
2024/05/20,679,274,588,102,91,80
2024/05/21,681,275,589,103,92,80
2024/05/22,683,276,591,103,92,81
2024/05/23,684,276,592,103,92,81
2024/05/24,685,276,593,103,92,81
2024/05/26,686,276,594,103,92,81
2024/05/27,689,277,596,104,93,81
2024/05/29,690,277,597,104,93,81
2024/05/30,691,277,598,104,93,81
2024/05/31,693,279,599,104,93,81
2024/06/03,694,279,600,104,93,81
2024/06/05,698,282,601,104,93,81
2024/06/06,701,285,602,105,95,81
2024/06/07,702,285,603,105,95,81
2024/06/10,704,286,604,106,96,81
2024/06/11,705,287,605,106,97,81
2024/06/12,706,287,606,106,97,81
2024/06/13,707,287,607,106,97,81
2024/06/14,708,287,608,106,97,81
2024/06/15,709,288,608,106,97,81
2024/06/17,710,288,609,106,97,81
2024/06/19,710,289,609,106,97,81
2024/06/20,710,289,610,106,97,81
2024/06/21,711,289,612,106,97,81
2024/06/22,712,289,613,106,97,81
2024/06/23,713,289,614,106,97,81
2024/06/24,717,292,616,107,98,81
2024/06/26,722,294,621,108,99,82
2024/06/27,725,294,624,108,99,82
2024/06/28,728,295,627,108,99,82
2024/07/01,729,297,627,108,99,82
2024/07/02,730,297,628,108,99,82
2024/07/03,731,297,629,108,99,82
2024/07/04,732,297,630,108,99,82
2024/07/05,733,298,631,108,99,82
2024/07/08,735,300,631,108,99,82
2024/07/09,737,300,633,108,99,82
2024/07/10,739,301,635,108,99,82
2024/07/12,740,301,637,108,99,83
2024/07/13,741,301,638,108,99,83
2024/07/14,741,302,638,108,99,83
2024/07/15,742,302,639,108,99,83
2024/07/16,742,303,639,108,99,83
2024/07/17,744,303,641,108,99,83
2024/07/18,744,303,642,108,99,83
2024/07/19,745,304,642,108,99,83
2024/07/20,746,305,642,108,99,83
2024/07/21,748,305,644,108,99,83
2024/07/22,750,306,646,108,99,83
2024/07/25,752,307,647,108,99,83
2024/07/26,756,309,649,108,99,83
2024/07/27,757,310,649,108,99,83
2024/07/28,758,310,650,108,99,83
2024/07/29,759,310,651,108,99,83
2024/07/31,760,310,652,108,99,83
2024/08/03,761,310,653,108,99,83
2024/08/05,762,310,654,108,99,83
2024/08/06,763,311,654,108,99,83
2024/08/08,765,312,655,108,99,83
2024/08/12,766,313,656,108,99,83
2024/08/13,768,315,656,109,100,83
2024/08/14,769,315,657,109,100,83
2024/08/19,769,316,658,109,100,83
2024/08/20,770,316,659,109,100,83
2024/08/22,772,317,660,109,100,83
2024/08/25,774,317,662,109,100,83
2024/08/26,776,317,664,109,100,83
2024/08/27,776,317,665,109,100,83
2024/08/30,778,318,666,109,100,83
2024/09/01,779,318,667,109,100,83
2024/09/02,780,319,667,109,100,83
2024/09/03,782,320,668,109,100,83
2024/09/04,783,321,668,110,101,83
2024/09/05,785,321,670,111,101,84
2024/09/08,786,321,671,111,101,84
2024/09/09,787,321,672,111,101,84
